q|n|lp|up|id
frozen waffles|Kodiak Protein-Packed Buttermilk & Vanilla Power Waffles, Frozen, 40 Count, 53.6 oz.|$14.87||20215267086
frozen waffles|Eggo Homestyle Waffles, Frozen Breakfast, 72 ct.|$9.87|$0.14/ea|15280601537
canned pineapple chunks|Dole Tropical Gold Pineapple Chunks, 15.25 oz., 6 pk.|$11.48|$0.12/oz|13608108237
cotton swabs|Q-tips Cotton Swabs, 1750 ct., 3 pk.|$7.34|$0.00/ea|30521004134
hand sanitizer|Member's Mark Hand Sanitizer, 67.6 fl. oz.|$5.93|$0.09/foz|13953261756
hand sanitizer|Purell Advanced Hand Sanitizer, Refreshing Gel, 33.8 fl. oz.|$7.48||13944902252
hand sanitizer|Purell Advanced Gel Hand Sanitizer Refill 1,200 mL, 2 ct.|$43.48|$43.48/ea|13621570136
hand sanitizer|Purell Push-Style Hand Sanitizer Dispenser, White 1 pk.|$10.88|$5.44/ea|13605452003
cocktail sauce|Member's Mark Shrimp Tray with Cocktail Sauce, priced per pound|$18.25|$10.14/lb|13621807105
bay leaves|Member's Mark Whole Bay Leaves, 2 oz.|$8.54|$4.27/oz|13613464913
sesame seeds|Member's Mark White Sesame Seed, 20.5 oz.|$8.98|$0.44/oz|17777018655
sesame seeds|Member's Mark Black Sesame Seed, 22 oz.|$8.98|$0.41/oz|17787764079
dried basil|Member's Mark Dried Basil Leaf, 6.25 oz.|$6.64|$1.06/oz|13591373938
dried thyme|Member's Mark Thyme Leaves, 8.25 oz.|$7.24|$0.88/oz|13908405858
cottage cheese|Darigold Cottage Cheese, 3 lbs.|$6.56|$2.19/lb|15337355019
sliced deli turkey breast|Member's Mark Oven Roasted Turkey Breast, Sliced 1 lb. 6 oz.|$8.92|$0.41/oz|13890253215
sliced deli turkey breast|Member's Mark Honey Roasted Turkey Breast, Sliced, 1 lb. 6 oz.|$8.92|$0.41/oz|13901207861
sliced deli turkey breast|Member's Mark Four Peppered Turkey Breast, Sliced, 1 lb. 6 oz.|$9.57|$6.96/lb|13885568512
sliced deli turkey breast|Premium Carved Oven Roasted Turkey Breast|$10.68||20118269908
egg noodles|Country Pasta Homemade Style Egg Pasta 56 oz.|$7.98||13902860744
toilet paper|Quilted Northern Ultra Soft & Strong 2-Ply Toilet Paper 32 rolls, 244 sheets/roll|$20.98|$0.03/sft|13615014592
toilet paper|Quilted Northern Ultra Plush 3-Ply Toilet Paper 36 rolls, 255 sheets/roll|$24.48|$0.03/sft|13611256081
toilet paper|Charmin Ultra Strong 2-Ply Toilet Paper 32 rolls, 231 sheets/roll|$24.98|$0.03/sft|15208221331
toilet paper|Member's Mark Ultra Premium 2-Ply Toilet Paper 45 rolls, 235 sheets/roll|$24.76|$0.02/sft|14179359401
toilet paper|Charmin Ultra Soft 2-Ply Toilet Paper 32 rolls, 215 sheets/roll|$29.98|$0.04/sft|17836403363
toilet paper|Scott 1000 1-Ply Toilet Paper 45 rolls, 1,000 sheets/roll|$30.48|$0.01/sft|5400048554
toilet paper|Marathon Jumbo Roll 2-Ply White Toilet Paper 6 rolls, 1000 ft./roll|$26.77|$0.02/sft|40613121359
toilet paper|POM 2-Ply Toilet Paper 45 rolls, 473 sheets/roll|$26.98|$0.01/sft|13888920661
toilet paper|Tork Universal 2-Ply White Bath Tissue, 96 rolls, 500 sheets/roll|$64.48|$0.01/sft|16304869235
toilet paper|Boardwalk Jumbo Roll 2-Ply Toilet Paper 12 rolls, 1000 ft./roll|$48.98|$0.01/sft|13596008895
toilet paper|Tork Universal 2-Ply White Jumbo Bath Tissue, 12 rolls, 1,000 ft./roll|$51.74|$0.01/sft|16377950646
toilet paper|Marathon 2-Roll Jumbo Toilet Paper Dispenser, Smoke|$23.44|$23.44/ea|13567466088
aluminum foil|Reynolds Wrap Every Day 12" Aluminum Foil, 200 sq. ft., 2 pk.|$24.98|$0.06/sft|15430907581
